,Number of votes in total,Number of votings when MEP was present,Presence (%),Particiation (%),Number of 'wrong votes',Share of votes that were 'wrong' (of the votings where the MEP was present),Number of corrected votes in total,Share of votes that were corrected (of the votings where the MEP was present),European political group,Member State
Eric ANDRIEU,10049,9742.0,0.9694496964872127,0.9259627823664046,32.0,0.003284746458632724,36.0,0.003695339765961815,S&D,France
Caroline NAGTEGAAL  This person became MEP later than the general start of the term.,3976,3969.0,0.9982394366197183,0.9758551307847082,13.0,0.00327538422776518,13.0,0.00327538422776518,ALDE/ADLE,Netherlands
Jasenko SELIMOVIC  This person became MEP later than the general start of the term.,8444,8359.0,0.9899336807200378,0.9715774514448129,27.0,0.003230051441559995,27.0,0.003230051441559995,ALDE/ADLE,Sweden
Jean-Paul DENANOT,7381,7152.0,0.968974393713589,0.9260262837013955,23.0,0.003215883668903803,23.0,0.003215883668903803,S&D,France
Evelyn REGNER,10049,9974.0,0.992536570803065,0.971439944273062,32.0,0.0032083416883898134,39.0,0.0039101664327250854,S&D,Austria
Rosa ESTARÀS FERRAGUT,10049,9687.0,0.963976515076127,0.8876505124888049,31.0,0.003200165169815216,34.0,0.003509858573345721,EPP,Spain
Marco ZANNI,10049,9391.0,0.9345208478455568,0.9139217832620161,30.0,0.0031945479714620383,52.0,0.005537216483867533,ENF,Italy
Ana GOMES,10049,9735.0,0.9687531097621654,0.9260622947556971,31.0,0.0031843862352336928,43.0,0.004417051874678993,S&D,Portugal
Igor ŠOLTES,10049,9433.0,0.9387003681958404,0.902179321325505,30.0,0.003180324393088095,39.0,0.004134421711014523,Greens/EFA,Slovenia
Younous OMARJEE,10049,9204.0,0.9159120310478654,0.8778982983381431,29.0,0.0031508039982616255,29.0,0.0031508039982616255,GUE-NGL,France
Eduard-Raul HELLVIG,379,319.0,0.841688654353562,0.7071240105540897,1.0,0.003134796238244514,1.0,0.003134796238244514,EPP,Romania
Henna VIRKKUNEN,10049,9254.0,0.9208876505124888,0.8863568514280028,29.0,0.0031337799870326346,29.0,0.0031337799870326346,EPP,Finland
Sofia RIBEIRO,10049,9907.0,0.9858692407204697,0.9748233655090058,31.0,0.0031291006359140004,31.0,0.0031291006359140004,EPP,Portugal
Jörg MEUTHEN  This person became MEP later than the general start of the term.,3978,3852.0,0.9683257918552036,0.942684766214178,12.0,0.003115264797507788,13.0,0.0033748701973001036,EFDD,Germany
Richard HOWITT,4313,3870.0,0.8972872710410387,0.8119638302805472,12.0,0.0031007751937984496,17.0,0.004392764857881137,S&D,United Kingdom
Eva KAILI,10049,9044.0,0.8999900487610708,0.751716588715295,28.0,0.0030959752321981426,28.0,0.0030959752321981426,S&D,Greece
Alberto CIRIO,10049,9386.0,0.9340232858990944,0.8367996815603542,29.0,0.0030897080758576605,51.0,0.005433624547197954,EPP,Italy
Johannes Cornelis van BAALEN,10049,9431.0,0.9385013434172554,0.8384913921783262,29.0,0.003074965539179302,29.0,0.003074965539179302,ALDE/ADLE,Netherlands
Mircea DIACONU,10049,8175.0,0.813513782465917,0.7466414568613793,25.0,0.0030581039755351682,26.0,0.003180428134556575,ALDE/ADLE,Romania
Konstantinos PAPADAKIS,10049,8860.0,0.8816797691312569,0.7640561249875609,27.0,0.0030474040632054175,37.0,0.004176072234762979,NI,Greece
Jørn DOHRMANN,10049,9195.0,0.9150164195442333,0.8863568514280028,28.0,0.003045133224578575,28.0,0.003045133224578575,ECR,Denmark
Richard CORBETT,10049,9595.0,0.95482137526122,0.8797890337347,29.0,0.0030224075039082857,29.0,0.0030224075039082857,S&D,United Kingdom
Vincent PEILLON,10049,9603.0,0.9556174743755598,0.8965071151358344,29.0,0.003019889617827762,30.0,0.003124023742580444,S&D,France
Roberta METSOLA,10049,9609.0,0.9562145487113145,0.9402925664245199,29.0,0.0030180039546258714,29.0,0.0030180039546258714,EPP,Malta
Lucy ANDERSON,10049,9947.0,0.9898497362921683,0.9775102000199025,30.0,0.003015984719010757,30.0,0.003015984719010757,S&D,United Kingdom
Costas MAVRIDES,10049,9354.0,0.9308388894417355,0.8306299134242213,28.0,0.0029933718195424416,40.0,0.004276245456489203,S&D,Cyprus
Ramón JÁUREGUI ATONDO,10049,9693.0,0.9645735894118818,0.9439745248283411,29.0,0.00299184978850717,29.0,0.00299184978850717,S&D,Spain
Paulo RANGEL,10049,8752.0,0.8709324310876704,0.8046571798188874,26.0,0.002970749542961609,34.0,0.0038848263254113347,EPP,Portugal
Danuta Maria HÜBNER,10049,9768.0,0.9720370186088167,0.951836003582446,29.0,0.0029688779688779687,44.0,0.0045045045045045045,EPP,Poland
Tiemo WÖLKEN  This person became MEP later than the general start of the term.,5736,5736.0,1.0,0.9499651324965133,17.0,0.0029637377963737796,18.0,0.0031380753138075313,S&D,Germany
Margrete AUKEN,10049,9162.0,0.9117325106975819,0.8792914717882376,27.0,0.0029469548133595285,28.0,0.0030561012879283997,Greens/EFA,Denmark
Jill SEYMOUR,10049,7819.0,0.7780873718777988,0.7372872922678874,23.0,0.0029415526282133265,23.0,0.0029415526282133265,EFDD,United Kingdom
Fernando RUAS,10049,9865.0,0.9816897203701861,0.9256642451985272,29.0,0.0029396857577293463,33.0,0.003345159655347187,EPP,Portugal
Gesine MEISSNER,10049,9906.0,0.9857697283311773,0.9310379142203205,29.0,0.0029275186755501714,32.0,0.0032303654350898446,ALDE/ADLE,Germany
Jiří MAŠTÁLKA,10049,6876.0,0.6842471887750025,0.6593690914518857,20.0,0.0029086678301337987,20.0,0.0029086678301337987,GUE-NGL,Czech Republic
Paul RÜBIG,10049,9976.0,0.9927355955816499,0.9679570106478257,29.0,0.0029069767441860465,33.0,0.0033079390537289494,EPP,Austria
Claude MORAES,10049,9302.0,0.9256642451985272,0.8613792417155935,27.0,0.002902601591055687,27.0,0.002902601591055687,S&D,United Kingdom
Max ANDERSSON,10049,9317.0,0.9271569310379142,0.8798885461239925,27.0,0.0028979285177632287,27.0,0.0028979285177632287,Greens/EFA,Sweden
Kristina WINBERG,10049,9333.0,0.9287491292665937,0.900686635486118,27.0,0.0028929604628736743,29.0,0.003107253830493946,ECR,Sweden
Anne-Marie MINEUR,10049,9023.0,0.897900288585929,0.8685441337446512,26.0,0.0028815249916879088,26.0,0.0028815249916879088,GUE-NGL,Netherlands
Lola SÁNCHEZ CALDENTEY,10049,9045.0,0.9000895611503632,0.8939197930142303,26.0,0.0028745163073521283,30.0,0.003316749585406302,GUE-NGL,Spain
Eugen FREUND,10049,9785.0,0.9737287292267888,0.9418847646531994,28.0,0.00286152273888605,29.0,0.0029637199795605517,S&D,Austria
Patrizia TOIA,10049,9813.0,0.9765150761269779,0.9040700567220619,28.0,0.002853357790685825,35.0,0.003566697238357281,S&D,Italy
Ernest URTASUN,10049,9151.0,0.9106378744153647,0.8998905363717783,26.0,0.0028412195388482133,26.0,0.0028412195388482133,Greens/EFA,Spain
Kinga GÁL,10049,9159.0,0.9114339735297045,0.86486217534083,26.0,0.0028387378534774537,27.0,0.002947920078611202,EPP,Hungary
Andrew LEWER,5412,4601.0,0.8501478196600147,0.8458980044345898,13.0,0.002825472723321017,13.0,0.002825472723321017,ECR,United Kingdom
Elena GENTILE,10049,9588.0,0.9541247885361728,0.8905363717782864,27.0,0.002816020025031289,27.0,0.002816020025031289,S&D,Italy
Jeroen LENAERS,10049,9606.0,0.9559160115434372,0.9457657478356055,27.0,0.0028107432854465957,27.0,0.0028107432854465957,EPP,Netherlands
Piernicola PEDICINI,10049,9967.0,0.9918399840780178,0.9841775301024978,28.0,0.0028092705929567575,58.0,0.005819203371124712,EFDD,Italy
Angelo CIOCCA  This person became MEP later than the general start of the term.,6272,5365.0,0.8553890306122449,0.751594387755102,15.0,0.0027958993476234857,21.0,0.00391425908667288,ENF,Italy
Notis MARIAS,10049,10027.0,0.9978107274355658,0.8860583142601254,28.0,0.002792460357036003,31.0,0.003091652538147003,ECR,Greece
Eleonora FORENZA,10049,9316.0,0.9270574186486218,0.9084486018509305,26.0,0.00279089738085015,37.0,0.003971661657363675,GUE-NGL,Italy
Claude TURMES,7427,6883.0,0.9267537363673085,0.8069206947623536,19.0,0.0027604242336190616,42.0,0.006101990411157925,Greens/EFA,Luxembourg
Lambert van NISTELROOIJ,10049,9802.0,0.9754204398447607,0.9278535177629615,27.0,0.0027545398898184046,29.0,0.0029585798816568047,EPP,Netherlands
Maite PAGAZAURTUNDÚA RUIZ,10049,9803.0,0.9755199522340532,0.9256642451985272,27.0,0.0027542589003366315,29.0,0.002958278078139345,ALDE/ADLE,Spain
Marina ALBIOL GUZMÁN,10049,8000.0,0.7960991143397353,0.762364414369589,22.0,0.00275,22.0,0.00275,GUE-NGL,Spain
Marietje SCHAAKE,10049,9494.0,0.9447706239426809,0.9246691213056025,26.0,0.0027385717295133768,27.0,0.0028439014114177374,ALDE/ADLE,Netherlands
Sorin MOISĂ,10049,8780.0,0.8737187779878595,0.8260523435167678,24.0,0.002733485193621868,24.0,0.002733485193621868,EPP,Romania
Mario BORGHEZIO,10049,9890.0,0.9841775301024978,0.9459647726141904,27.0,0.002730030333670374,29.0,0.0029322548028311427,ENF,Italy
Rainer WIELAND,10049,9909.0,0.9860682654990547,0.9572096726042393,27.0,0.0027247956403269754,41.0,0.0041376526390150365,EPP,Germany
Karin KADENBACH,10049,9543.0,0.9496467310180118,0.8992934620360234,26.0,0.00272451011212407,32.0,0.0033532432149219324,S&D,Austria
Ildikó GÁLL-PELCZ,5619,5156.0,0.9176009966186154,0.8900160170848905,14.0,0.0027152831652443757,14.0,0.0027152831652443757,EPP,Hungary
Beatrix von STORCH,5825,5171.0,0.887725321888412,0.848068669527897,14.0,0.002707406691162251,15.0,0.0029007928833881262,EFDD,Germany
Martina DLABAJOVÁ,10049,10025.0,0.9976117026569808,0.9668623743656085,27.0,0.002693266832917706,28.0,0.002793017456359102,ALDE/ADLE,Czech Republic
Jacqueline FOSTER,10049,9292.0,0.9246691213056025,0.7865459249676585,25.0,0.0026904864399483427,26.0,0.0027981058975462764,ECR,United Kingdom
Sven SCHULZE,10049,9718.0,0.9670613991441934,0.9309384018310279,26.0,0.002675447622967689,26.0,0.002675447622967689,EPP,Germany
Ángela VALLINA,10049,7852.0,0.7813712807244502,0.702059906458354,21.0,0.002674477840040754,22.0,0.0028018339276617422,GUE-NGL,Spain
Nuno MELO,10049,9382.0,0.9336252363419246,0.8363021196138919,25.0,0.0026646770411426135,25.0,0.0026646770411426135,EPP,Portugal
Amjad BASHIR,10049,8647.0,0.8604836302119614,0.8009752214150662,23.0,0.0026598820400138778,23.0,0.0026598820400138778,ECR,United Kingdom
Marc TARABELLA,10049,9811.0,0.9763160513483928,0.9647726141904667,26.0,0.002650086637447763,26.0,0.002650086637447763,S&D,Belgium
Teresa RODRIGUEZ-RUBIO,379,379.0,1.0,0.9920844327176781,1.0,0.002638522427440633,2.0,0.005277044854881266,GUE-NGL,Spain
Marie-Pierre VIEU  This person became MEP later than the general start of the term.,4577,3807.0,0.8317675333187677,0.739567402228534,10.0,0.002626740215392698,10.0,0.002626740215392698,GUE-NGL,France
Karine GLOANEC MAURIN  This person became MEP later than the general start of the term.,2668,2667.0,0.9996251874062968,0.967391304347826,7.0,0.0026246719160104987,7.0,0.0026246719160104987,S&D,France
Geoffrey VAN ORDEN,10049,8764.0,0.8721265797591801,0.8018708329186984,23.0,0.002624372432679142,26.0,0.0029666818804198994,ECR,United Kingdom
Beatriz BECERRA BASTERRECHEA,10049,9918.0,0.9869638770026868,0.9496467310180118,26.0,0.002621496269409155,27.0,0.0027223230490018148,ALDE/ADLE,Spain
Neoklis SYLIKIOTIS,10049,9555.0,0.9508408796895214,0.8660563240123396,25.0,0.0026164311878597592,31.0,0.0032443746729461016,GUE-NGL,Cyprus
Jonathan BULLOCK  This person became MEP later than the general start of the term.,4430,4224.0,0.9534988713318284,0.9309255079006772,11.0,0.0026041666666666665,11.0,0.0026041666666666665,EFDD,United Kingdom
Robert ROCHEFORT,10049,8866.0,0.8822768434670116,0.867847547019604,23.0,0.0025941800135348522,23.0,0.0025941800135348522,ALDE/ADLE,France
Judith SARGENTINI,10049,9651.0,0.9603940690615982,0.942879888546124,25.0,0.0025904051393637966,27.0,0.0027976375505129004,Greens/EFA,Netherlands
Francisco José MILLÁN MON,10049,10039.0,0.9990048761070753,0.9393969549208877,26.0,0.002589899392369758,37.0,0.0036856260583723478,EPP,Spain
Jérôme LAVRILLEUX,10049,10049.0,1.0,0.9980097522141507,26.0,0.00258732212160414,28.0,0.0027863469001890733,EPP,France
Alfred SANT,10049,10049.0,1.0,0.9347198726241417,26.0,0.00258732212160414,28.0,0.0027863469001890733,S&D,Malta
Lara COMI,10049,8506.0,0.8464523833217236,0.7790824957707234,22.0,0.0025864095932283094,27.0,0.0031742299553256526,EPP,Italy
Fabio Massimo CASTALDO,10049,9678.0,0.9630809035724948,0.9214847248482436,25.0,0.0025831783426327752,26.0,0.0026865054763380862,EFDD,Italy
László TŐKÉS,10049,9323.0,0.927754005373669,0.8338143098815802,24.0,0.0025742786656655584,27.0,0.002896063498873753,EPP,Hungary
Anna ZÁBORSKÁ,10049,9730.0,0.9682555478157031,0.9583043088864563,25.0,0.0025693730729701952,25.0,0.0025693730729701952,EPP,Slovakia
Jiří POSPÍŠIL,10049,9346.0,0.9300427903273958,0.8501343417255448,24.0,0.0025679435052428845,26.0,0.0027819387973464582,EPP,Czech Republic
Lefteris CHRISTOFOROU  This person became MEP later than the general start of the term.,9909,9349.0,0.9434857200524776,0.8556867494197195,24.0,0.0025671194780190394,24.0,0.0025671194780190394,EPP,Cyprus
György SCHÖPFLIN,10049,9755.0,0.9707433575480148,0.8976017514180515,25.0,0.0025627883136852894,25.0,0.0025627883136852894,EPP,Hungary
Rosa D'AMATO,10049,9406.0,0.9360135336849438,0.9150164195442333,24.0,0.0025515628322347436,24.0,0.0025515628322347436,EFDD,Italy
Anders Primdahl VISTISEN,10049,9441.0,0.9394964673101801,0.9101403124689024,24.0,0.002542103590721322,24.0,0.002542103590721322,ECR,Denmark
Anja HAZEKAMP,10049,9839.0,0.9791023982485819,0.9694496964872127,25.0,0.0025409086289257038,25.0,0.0025409086289257038,GUE-NGL,Netherlands
Georg MAYER,10049,9843.0,0.9795004478057519,0.9516369788038611,25.0,0.0025398760540485624,30.0,0.003047851264858275,ENF,Austria
Louis-Joseph MANSCOUR,10049,9065.0,0.9020798089362125,0.8091352373370485,23.0,0.0025372311086596802,23.0,0.0025372311086596802,S&D,France
Edouard MARTIN,10049,9902.0,0.9853716787740073,0.9755199522340532,25.0,0.002524742476267421,28.0,0.002827711573419511,S&D,France
Kay SWINBURNE,10049,8326.0,0.8285401532490795,0.7957010647825654,21.0,0.002522219553206822,21.0,0.002522219553206822,ECR,United Kingdom
Remo SERNAGIOTTO,10049,9991.0,0.9942282814210369,0.9272564434272067,25.0,0.002502252026824142,25.0,0.002502252026824142,ECR,Italy
Massimiliano SALINI,10049,10049.0,1.0,0.9753209274554682,25.0,0.002487809732311673,42.0,0.00417952035028361,EPP,Italy
Marek JUREK,10049,9261.0,0.921584237237536,0.9032739576077221,23.0,0.0024835330957779936,23.0,0.0024835330957779936,ECR,Poland
Fredrick FEDERLEY,10049,9285.0,0.9239725345805553,0.8989949248681461,23.0,0.0024771136241249327,25.0,0.0026925148088314485,ALDE/ADLE,Sweden
Barbara MATERA,10049,6476.0,0.6444422330580157,0.6232460941387202,16.0,0.0024706609017912293,16.0,0.0024706609017912293,EPP,Italy
Marian HARKIN,10049,9365.0,0.9319335257239526,0.9117325106975819,23.0,0.002455953016550988,24.0,0.0025627335824879873,ALDE/ADLE,Ireland
Iris HOFFMANN,10049,8988.0,0.8944173549606926,0.7829634789531297,22.0,0.002447708055184691,22.0,0.002447708055184691,S&D,Germany
Jan Philipp ALBRECHT,7428,6963.0,0.9373990306946688,0.9260904684975767,17.0,0.002441476375125664,23.0,0.0033031739192876633,Greens/EFA,Germany
Evžen TOŠENOVSKÝ,10049,9878.0,0.9829833814309882,0.9674594487013634,24.0,0.0024296416278598906,27.0,0.002733346831342377,ECR,Czech Republic
Bodil VALERO,10049,9885.0,0.9836799681560354,0.9653696885262215,24.0,0.0024279210925644916,24.0,0.0024279210925644916,Greens/EFA,Sweden
Kazimierz Michał UJAZDOWSKI,10049,9902.0,0.9853716787740073,0.944173549606926,24.0,0.002423752777216724,24.0,0.002423752777216724,NI,Poland
Alessandra MUSSOLINI,10049,7455.0,0.7418648621753409,0.6316051348392875,18.0,0.002414486921529175,19.0,0.0025486250838363516,EPP,Italy
Lorenzo FONTANA  This person became MEP later than the general start of the term.,6915,6670.0,0.9645697758496024,0.9618221258134491,16.0,0.0023988005997001498,16.0,0.0023988005997001498,ENF,Italy
Sophia in 't VELD,10049,10012.0,0.9963180415961788,0.9854711911632998,24.0,0.0023971234518577705,24.0,0.0023971234518577705,ALDE/ADLE,Netherlands
Sandra KALNIETE,10049,9178.0,0.9133247089262613,0.8656582744551696,22.0,0.002397036391370669,23.0,0.0025059925909784266,EPP,Latvia
Jan HUITEMA,10049,10028.0,0.9979102398248582,0.9843765548810827,24.0,0.0023932987634623054,26.0,0.0025927403270841645,ALDE/ADLE,Netherlands
Wim van de CAMP,10049,9614.0,0.956712110657777,0.930739377052443,23.0,0.0023923444976076554,24.0,0.00249635947576451,EPP,Netherlands
John Stuart AGNEW,10049,9620.0,0.9573091849935317,0.9164095929943278,23.0,0.002390852390852391,23.0,0.002390852390852391,ENF,United Kingdom
Paloma LÓPEZ BERMEJO,10049,9228.0,0.9183003283908847,0.8849636779779082,22.0,0.0023840485478977026,22.0,0.0023840485478977026,GUE-NGL,Spain
Pablo ZALBA BIDEGAIN,4313,3776.0,0.8754926964989567,0.7655923950846278,9.0,0.0023834745762711866,9.0,0.0023834745762711866,EPP,Spain
Siôn SIMON,10049,9670.0,0.962284804458155,0.9300427903273958,23.0,0.0023784901758014476,24.0,0.002481902792140641,S&D,United Kingdom
Aldo PATRICIELLO,10049,6727.0,0.6694198427704249,0.5751816101104588,16.0,0.002378474803032555,21.0,0.003121748178980229,EPP,Italy
Mark DEMESMAEKER,10049,9351.0,0.9305403522738581,0.8941188177928152,22.0,0.0023526895519195806,23.0,0.0024596299860977435,ECR,Belgium
Julia REID,10049,8929.0,0.888546123992437,0.849736292168375,21.0,0.002351887109418748,22.0,0.0024638817336767836,EFDD,United Kingdom
Maria NOICHL,10049,9811.0,0.9763160513483928,0.9178027664444224,23.0,0.002344307410049944,23.0,0.002344307410049944,S&D,Germany
Francesc GAMBÚS,10049,9823.0,0.9775102000199025,0.9490496566822569,23.0,0.0023414435508500456,23.0,0.0023414435508500456,EPP,Spain
Maurice PONGA,10049,6410.0,0.6378744153647129,0.5815504030251767,15.0,0.00234009360374415,15.0,0.00234009360374415,EPP,France
Alex MAYER  This person became MEP later than the general start of the term.,5736,5566.0,0.9703626220362622,0.9314853556485355,13.0,0.002335609054976644,13.0,0.002335609054976644,S&D,United Kingdom
Constance LE GRIP,6192,5138.0,0.8297803617571059,0.8141149870801033,12.0,0.0023355391202802647,12.0,0.0023355391202802647,EPP,France
Carlos COELHO,10049,9857.0,0.9808936212558463,0.9640760274654194,23.0,0.0023333671502485543,28.0,0.0028406208785634575,EPP,Portugal
Mary HONEYBALL,10049,9861.0,0.9812916708130163,0.9243705841377251,23.0,0.0023324206469932055,23.0,0.0023324206469932055,S&D,United Kingdom
Tiziana BEGHIN,10049,9448.0,0.9401930540352273,0.9035724947755995,22.0,0.0023285351397121083,23.0,0.002434377646062659,EFDD,Italy
France JAMET  This person became MEP later than the general start of the term.,4430,4301.0,0.9708803611738149,0.9480812641083521,10.0,0.0023250406882120438,10.0,0.0023250406882120438,ENF,France
Victor NEGRESCU,5472,5203.0,0.9508406432748538,0.9391447368421053,12.0,0.0023063617143955412,26.0,0.004997117047857005,S&D,Romania
Kostas CHRYSOGONOS,10049,8708.0,0.8665538859588019,0.7987859488506319,20.0,0.0022967386311437757,20.0,0.0022967386311437757,GUE-NGL,Greece
Sabine LÖSING,10049,9149.0,0.9104388496367798,0.8774007363916808,21.0,0.0022953328232593728,21.0,0.0022953328232593728,GUE-NGL,Germany
Raymond FINCH,10049,8290.0,0.8249577072345508,0.7154940790128371,19.0,0.0022919179734620025,20.0,0.0024125452352231603,EFDD,United Kingdom
Claude ROLIN,10049,10049.0,1.0,0.9872624141705643,23.0,0.002288784953726739,23.0,0.002288784953726739,EPP,Belgium
Ignazio CORRAO,10049,9693.0,0.9645735894118818,0.9577072345507016,22.0,0.002269679149901991,22.0,0.002269679149901991,EFDD,Italy
Francis ZAMMIT DIMECH  This person became MEP later than the general start of the term.,4577,4427.0,0.9672274415556041,0.9337994319423203,10.0,0.00225886604924328,13.0,0.0029365258640162636,EPP,Malta
Flavio ZANONATO,10049,9757.0,0.9709423823265997,0.923275947855508,22.0,0.002254791431792559,24.0,0.0024597724710464283,S&D,Italy
Laura FERRARA,10049,9314.0,0.9268583938700368,0.9100408000796099,21.0,0.002254670388662229,27.0,0.0028988619282800084,EFDD,Italy
Anders SELLSTRÖM  This person became MEP later than the general start of the term.,2345,2227.0,0.949680170575693,0.8780383795309168,5.0,0.00224517287831163,5.0,0.00224517287831163,EPP,Sweden
György HÖLVÉNYI,10049,8958.0,0.8914319832819186,0.7886356851428002,20.0,0.0022326412145568207,21.0,0.002344273275284662,EPP,Hungary
Andor DELI,10049,9907.0,0.9858692407204697,0.9690516469300428,22.0,0.0022206520641970323,23.0,0.0023215907943878065,EPP,Hungary
Kati PIRI,10049,9461.0,0.9414867150960294,0.8597870434869141,21.0,0.0022196385160131063,21.0,0.0022196385160131063,S&D,Netherlands
Angel DZHAMBAZKI,10049,9929.0,0.988058513284904,0.9628818787939099,22.0,0.0022157316950347466,22.0,0.0022157316950347466,ECR,Bulgaria
Ricardo SERRÃO SANTOS,10049,9930.0,0.9881580256741964,0.9569111354363619,22.0,0.002215508559919436,29.0,0.002920443101711984,S&D,Portugal
Matthijs van MILTENBURG,10049,10012.0,0.9963180415961788,0.9870633893919794,22.0,0.0021973631642029563,23.0,0.0022972433080303634,ALDE/ADLE,Netherlands
Luigi MORGANO,10049,10019.0,0.997014628321226,0.960792118618768,22.0,0.002195827926938816,32.0,0.0031939315300928235,S&D,Italy
Marian-Jean MARINESCU,10049,9578.0,0.9531296646432481,0.9275549805950841,21.0,0.0021925245353936105,32.0,0.003340989768218835,EPP,Romania
Philippe DE BACKER,3246,3206.0,0.9876771410967344,0.9306839186691312,7.0,0.002183406113537118,7.0,0.002183406113537118,ALDE/ADLE,Belgium
Milan ZVER,10049,9618.0,0.9571101602149468,0.9299432779381033,21.0,0.002183406113537118,21.0,0.002183406113537118,EPP,Slovenia
Linnéa ENGSTRÖM  This person became MEP later than the general start of the term.,9967,7329.0,0.7353265777064312,0.6859636801444767,16.0,0.0021831082003001775,16.0,0.0021831082003001775,Greens/EFA,Sweden
Simona BONAFÈ,10049,9238.0,0.9192954522838094,0.8727236540949348,20.0,0.002164970772894566,22.0,0.0023814678501840225,S&D,Italy
Cora van NIEUWENHUIZEN,6016,5569.0,0.9256981382978723,0.9000997340425532,12.0,0.0021547854192853293,12.0,0.0021547854192853293,ALDE/ADLE,Netherlands
Luke Ming FLANAGAN,10049,9788.0,0.9740272663946662,0.9558164991541447,21.0,0.0021454842664487125,28.0,0.0028606456885982836,GUE-NGL,Ireland
András GYÜRK,10049,7958.0,0.7919195939894517,0.6984774604438253,17.0,0.0021362151294295048,17.0,0.0021362151294295048,EPP,Hungary
Jacek SARYUSZ-WOLSKI,10049,8437.0,0.8395860284605433,0.7873420240819982,18.0,0.002133459760578405,193.0,0.022875429655090672,NI,Poland
Ralph PACKET  This person became MEP later than the general start of the term.,1886,1881.0,0.9973488865323435,0.9846235418875928,4.0,0.002126528442317916,4.0,0.002126528442317916,ECR,Belgium
Jutta STEINRUCK,6355,6129.0,0.9644374508261212,0.9051140833988985,13.0,0.0021210637950726057,22.0,0.0035894925762767174,S&D,Germany
Jane COLLINS,10049,7592.0,0.7554980595084088,0.6842471887750025,16.0,0.002107481559536354,17.0,0.002239199157007376,ENF,United Kingdom
Paul NUTTALL,10049,6649.0,0.6616578764056125,0.43327694297940095,14.0,0.00210557978643405,14.0,0.00210557978643405,EFDD,United Kingdom
Karl-Heinz FLORENZ,10049,9024.0,0.8979998009752214,0.7809732311672803,19.0,0.0021054964539007092,49.0,0.005429964539007092,EPP,Germany
Merja KYLLÖNEN,10049,9524.0,0.9477559956214548,0.9107373868046572,20.0,0.0020999580008399833,20.0,0.0020999580008399833,GUE-NGL,Finland
Anneleen VAN BOSSUYT  This person became MEP later than the general start of the term.,9767,9114.0,0.9331422135763284,0.9110269274086209,19.0,0.002084704849681808,19.0,0.002084704849681808,ECR,Belgium
Alexander Graf LAMBSDORFF,5825,4815.0,0.8266094420600858,0.7495278969957082,10.0,0.0020768431983385254,10.0,0.0020768431983385254,ALDE/ADLE,Germany
Romana TOMC,10049,9674.0,0.9626828540153249,0.9466613593392378,20.0,0.002067397146991937,20.0,0.002067397146991937,EPP,Slovenia
Peter LUNDGREN,10049,9195.0,0.9150164195442333,0.8839685540849835,19.0,0.0020663404023926048,23.0,0.002501359434475258,ECR,Sweden
Anneli JÄÄTTEENMÄKI,10049,9723.0,0.9675589610906558,0.9040700567220619,20.0,0.002056978298878947,20.0,0.002056978298878947,ALDE/ADLE,Finland
Krišjānis KARIŅŠ,8954,7792.0,0.8702255974983247,0.8484476211748939,16.0,0.002053388090349076,16.0,0.002053388090349076,EPP,Latvia
Richard SULÍK,10049,9267.0,0.9221813115732909,0.894516867349985,19.0,0.002050285960936657,19.0,0.002050285960936657,ECR,Slovakia
Miroslav MIKOLÁŠIK,10049,9771.0,0.9723355557766942,0.9114339735297045,20.0,0.0020468734008801557,23.0,0.0023539044110121787,EPP,Slovakia
Miguel URBÁN CRESPO  This person became MEP later than the general start of the term.,9670,9284.0,0.9600827300930713,0.9516028955532575,19.0,0.002046531667384748,20.0,0.002154243860404998,GUE-NGL,Spain
Laura AGEA,10049,9294.0,0.9248681460841874,0.8609811921584237,19.0,0.002044329675059178,22.0,0.0023671185711211535,EFDD,Italy
Yana TOOM,10049,9299.0,0.9253657080306498,0.8520250771221017,19.0,0.0020432304548876224,20.0,0.0021507688998817077,ALDE/ADLE,Estonia
Jacques COLOMBIER  This person became MEP later than the general start of the term.,3577,3432.0,0.9594632373497344,0.8361755661168577,7.0,0.0020396270396270395,7.0,0.0020396270396270395,ENF,France
Hugues BAYET,10049,9809.0,0.9761170265698079,0.9405911035923973,20.0,0.0020389438270975633,21.0,0.0021408910184524416,S&D,Belgium
Susanne MELIOR,10049,9862.0,0.9813911832023087,0.9482535575679172,20.0,0.002027986209693774,21.0,0.002129385520178463,S&D,Germany
Ivana MALETIĆ,10049,9871.0,0.9822867947059409,0.9536272265897104,20.0,0.002026137169486374,22.0,0.0022287508864350116,EPP,Croatia
John FLACK  This person became MEP later than the general start of the term.,4577,4445.0,0.9711601485689316,0.8763382128031462,9.0,0.0020247469066366703,9.0,0.0020247469066366703,ECR,United Kingdom
José Inácio FARIA,10049,9384.0,0.9338242611205095,0.9180017912230073,19.0,0.0020247229326513213,21.0,0.002237851662404092,EPP,Portugal
Miloslav RANSDORF,2587,1979.0,0.7649787398531117,0.7433320448395825,4.0,0.00202122283981809,4.0,0.00202122283981809,GUE-NGL,Czech Republic
Claudia SCHMIDT,10049,9984.0,0.9935316946959897,0.9808936212558463,20.0,0.002003205128205128,22.0,0.002203525641025641,EPP,Austria
Florent MARCELLESI  This person became MEP later than the general start of the term.,5967,5518.0,0.9247528071057483,0.8944193061840121,11.0,0.0019934758970641536,13.0,0.002355926060166727,Greens/EFA,Spain
